time,current,omega,omega_meas,theta,tau_load,V_in
0.1065,11.056504042958,94.85549931363,94.613591788575,4.17214992601189,0,12
0.107,11.0514475368046,95.3606440251518,95.0046417506381,4.2195776756687,0,12
0.1075,11.0463960871594,95.8652835917513,95.2781774260229,4.26725799768128,0,12
0.108,11.041349688966,96.3694185185735,96.2732987598039,4.31519063947716,0,12
0.1085,11.0363083371729,96.8730493102585,96.7360141952922,4.36337534873644,0,12
0.109,11.0312720267337,97.3761764709416,98.1412127281536,4.41181187339157,0,12
0.1095,11.026240752607,97.878800504254,97.7542881329971,4.46049996162704,0,12
0.11,11.0212145097566,98.3809219133233,97.8488152068786,4.50943936187917,0,12
0.1105,11.0161932931511,98.882541200774,99.684269849834,4.55862982283583,0,12
0.111,11.0111770977643,99.3836588687278,100.000998442173,4.60807109343622,0,12
0.1115,11.006165918575,99.8842754188046,99.769462193323,4.65776292287058,0,12
0.112,11.001159750567,100.384391352122,99.6313115001325,4.70770506057998,0,12
0.1125,10.996158588729,100.884007169298,100.661693261075,4.75789725625605,0,12
0.113,10.991162428055,101.383123370448,101.305152852586,4.80833925984069,0,12
0.1135,10.9861712635438,101.881740455189,102.019774582154,4.85903082152592,0,12
0.114,10.9811850901991,102.379858922636,102.249277099748,4.90997169175351,0,12
0.1145,10.9762039030299,102.877479271408,103.099190227861,4.96116162121483,0,12
0.115,10.9712276970499,103.374601999624,103.570549104341,5.01260036085054,0,12
0.1155,10.966256467278,103.871227604904,103.245888151491,5.06428766185035,0,12
0.116,10.9612902087379,104.367356584372,103.893376123206,5.1162232756528,0,12
0.1165,10.9563289164585,104.862989434653,104.492436387683,5.16840695394499,0,12
0.117,10.9513725854733,105.358126651877,105.104217876738,5.22083844866231,0,12
0.1175,10.9464212108213,105.852768731677,105.692480978377,5.27351751198825,0,12
0.118,10.9414747875459,106.346916169191,106.353150689872,5.32644389635409,0,12
0.1185,10.9365333106959,106.840569459061,105.325980788359,5.37961735443868,0,12
0.119,10.9315967753249,107.333729095435,107.105221774999,5.43303763916821,0,12
0.1195,10.9266651764912,107.826395571967,108.447619775162,5.48670450371593,0,12
0.12,10.9217385092584,108.318569381816,107.785218682324,5.54061770150192,0,12
0.1205,10.916816768695,108.810251017651,109.277115098986,5.59477698619282,0,12
0.121,10.9118999498741,109.301440971644,109.476601472322,5.64918211170165,0,12
0.1215,10.9069880478741,109.792139735479,109.777636853624,5.70383283218747,0,12
0.122,10.9020810577782,110.282347800344,110.373573884097,5.75872890205521,0,12
0.1225,10.8971789746744,110.772065656941,109.989537649865,5.81387007595538,0,12
0.123,10.8922817936557,111.261293795476,111.219024055567,5.86925610878385,0,12
0.1235,10.8873895098202,111.750032705669,112.55200588097,5.92488675568159,0,12
0.124,10.8825021182705,112.238282876747,112.287456764067,5.98076177203443,0,12
0.1245,10.8776196141144,112.72604479745,112.746731604195,6.0368809134728,0,12
0.125,10.8727419924644,113.21331895603,112.846234399681,6.09324393587152,0,12
0.1255,10.8678692484382,113.700105840247,113.684698975241,6.14985059534954,0,12
0.126,10.863001377158,114.186405937377,114.302579443689,6.20670064826966,0,12
0.1265,10.8581383737512,114.672219734207,114.885413512911,6.26379385123835,0,12
0.127,10.8532802333497,115.157547717037,114.971143346175,6.32112996110545,0,12
0.1275,10.8484269510908,115.642390371682,115.524163079803,6.37870873496397,0,12
0.128,10.843578522116,116.126748183469,117.138593626771,6.43652993014981,0,12
0.1285,10.8387349415723,116.610621637243,115.481444651995,6.49459330424155,0,12
0.129,10.8338962046112,117.094011217361,118.20873405759,6.55289861506017,0,12
0.1295,10.829062306389,117.576917407698,117.745699258004,6.61144562066885,0,12
0.13,10.8242332420671,118.059340691642,118.559371101437,6.6702340793727,0,12
0.1305,10.8194090068115,118.541281552101,117.709199314608,6.72926374971852,0,12
0.131,10.8145895957932,119.022740471499,118.727723189396,6.78853439049457,0,12
0.1315,10.8097750041879,119.503717931776,119.364685849893,6.84804576073032,0,12
0.132,10.8049652271762,119.984214414392,120.195572260002,6.90779761969621,0,12
0.1325,10.8001602599436,120.464230400325,119.629130051399,6.9677897269034,0,12
0.133,10.7953600976801,120.943766370071,121.179583533279,7.02802184210357,0,12
0.1335,10.790564735581,121.422822803648,120.816399203811,7.0884937252886,0,12
0.134,10.7857741688459,121.901400180591,121.934495204803,7.14920513669043,0,12
0.1345,10.7809883926796,122.379498979958,122.705676924288,7.21015583678072,0,12
0.135,10.7762074022915,122.857119680325,123.020649663914,7.2713455862707,0,12
0.1355,10.7714311928957,123.334262759793,123.875579511912,7.33277414611086,0,12
0.136,10.7666597597113,123.810928695982,124.313967251392,7.39444127749076,0,12
0.1365,10.7618930979621,124.287117966037,123.961664097738,7.45634674183875,0,12
0.137,10.7571312028767,124.762831046622,124.891359125339,7.51849030082177,0,12
