time,omega,omega_meas,tau_load
0.291,103.721703574846,102.747279986396,0
0.292,100.49182823169,101.002077238916,0
0.293,100.701253613071,101.132111764267,0
0.294,104.889651493382,104.890232535123,0
0.295,105.094260200738,105.058841594158,0
0.296,99.6698882787007,98.426746318349,0
0.297,99.8793075318572,100.169893693195,0
0.298,104.070999306333,102.97478184635,0
0.299,104.275598609955,103.115958456634,0
0.3,98.8545107098037,98.894477564953,0
0.301,99.0639173034156,98.5896768116303,0
0.302,103.258883260371,103.464628571083,0
0.303,103.463466668245,103.801955571087,0
0.304,101.729855669946,102.158721942549,0
0.305,101.27704548745,100.931465924759,0
0.306,106.123389057449,106.348077869032,0
0.307,105.667090961931,105.717407637088,0
0.308,100.899351799315,101.31238679855,0
0.309,100.449190337245,100.717268877208,0
0.31,105.296204553579,105.745148766572,0
0.311,104.84254656168,104.776577627718,0
0.312,100.075473393357,100.001872665281,0
0.313,99.6279434486018,100.131830151254,0
0.314,104.475619029728,103.413791298521,0
0.315,104.024583999226,103.772290796469,0
0.316,99.25816758864,98.6228703637356,0
0.317,98.8132520796399,98.6219596782861,0
0.318,103.661579833794,103.985919464819,0
0.319,103.213150743567,103.626014318188,0
0.32,99.6559278180385,99.1484559966984,0
0.321,101.952090866146,101.716555909805,0
0.322,104.055007943718,104.123520380783,0
0.323,106.342179585604,106.196247897727,0
0.324,98.8365007403015,98.987410017932,0
0.325,101.124316546107,101.324282017585,0
0.326,103.238866921534,102.773886142064,0
0.327,105.517704729547,105.429289596582,0
0.328,101.434940378051,100.368893078471,0
0.329,100.29971667498,100.87239753024,0
0.33,105.830335840242,105.515790459745,0
0.331,104.692987189115,104.091062202114,0
0.332,100.608151845533,100.481179503821,0
0.333,99.4783000757023,98.7639766433863,0
0.334,105.00684908992,104.996420281069,0
0.335,103.874858326385,103.594525828121,0
0.336,99.7879536843241,100.876843038916,0
0.337,98.9520122078805,99.5212449015453,0
0.338,104.189637811063,102.941194559471,0
0.339,103.350966533446,103.57162999931,0
0.34,98.9737179310966,98.274648993191,0
0.341,100.957827639812,100.830300049871,0
0.342,103.375838949663,103.458040986323,0
0.343,105.351578317942,105.725445332347,0
0.344,100.493143393353,100.356619918651,0
0.345,100.135030439595,100.923180512868,0
0.346,104.891528932733,104.651060356844,0
0.347,104.529733819344,104.693489879759,0
0.348,99.6723246121156,100.004691672429,0
0.349,99.3164722932736,99.3590665896342,0
0.35,104.073991165986,104.514467558677,0
0.351,103.714448885228,103.876055454152,0
0.352,98.8580547436028,98.4659816517708,0
0.353,99.2001541853282,98.2974675096352,0
0.354,103.262280425187,104.191576899465,0
0.355,103.599291442347,103.29702639796,0
0.356,100.550071548571,100.601751409727,0
0.357,99.5405842746185,99.8221677521915,0
0.358,104.948880749651,105.005679248018,0
0.359,103.937013641045,103.484650534646,0
0.36,99.7300970937611,99.4962398025352,0
0.361,98.7254725030281,98.6630275294166,0
0.362,104.132181329977,104.871660575729,0
0.363,103.125163904189,102.694756059186,0
0.364,98.9166596220826,99.3089938557266,0
0.365,101.427658415638,101.581969985612,0
0.366,103.318481984801,103.201551963736,0
0.367,105.820056958406,105.291570585426,0
0.368,100.320490641893,100.17842016458,0
0.369,100.602276296889,100.558931155659,0
0.37,104.71892689367,103.984229356427,0
0.371,104.995750541105,105.09184166354,0
0.372,99.4997743624479,99.0886277243028,0
0.373,99.7812635151189,99.7341432211391,0
0.374,103.901493775845,104.069600446323,0
